occupation,courses_list
Front End Developer at Offerpop,"['Algorithm', 'Computer architecture', 'Computer security', 'Data integeration', 'Database', 'Embedded systems', 'Machine learning', 'Networking concepts', 'Probability']"
Front-end Developer at Ensue LLC,"['Database Management Systems', 'Enterprise Architecture', 'Modern Programming Practice', 'Web Application Architecture', 'Web Application Programming']"
Front-End Web Developer | Sermo Digital,"['Business to Business Marketing', 'Introduction to Journalism', 'Introduction to Marketing', 'Media Strategies & Techniques', 'Media Writing', 'Online Media Creation', 'Principles of Public Relations', 'Quantitative Research', 'Web Development Immersive']"
Front End Engineer at Yardi,"['Android Development', 'Intermediate C#', 'Intermediate HTML5 Course', 'Oracle administration workshop l']"
Front End Developer at HackerPug,"['Android Application Design', 'Business Process Modeling', 'Data Warehousing', 'Database Management', 'Decision Making Under Uncertainty', 'Digital Transformation', 'Distributed Systems', 'Economic Principles and Problems', 'Economics', 'Enterprise Architecture']"
Front End Web Developer,"['Curriculum Development and Evaluation', 'Foundations of Literacy', 'Introduction to Interactive Design', 'Online Communities', 'Principles of Software Design For Learning', 'Transformative Teaching & Learning']"
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Developer at Upwork,"['C', 'C++']"
Front End Web Developer,"['Algorithms', 'Data Structures', 'Game Design in Unity3D', 'Programming Labs']"
Front end developer at Groupon.,"['Color theory', 'Design theory', 'General wording', 'Graphic Production', 'History of art', 'Illustration', 'Marketing', 'Methodology', 'Photography', 'Psychology of design']"
Front End Developer at Offerpop,"['Algorithm', 'Computer architecture', 'Computer security', 'Data integeration', 'Database', 'Embedded systems', 'Machine learning', 'Networking concepts', 'Probability']"
Front-end Developer at Ensue LLC,"['Database Management Systems', 'Enterprise Architecture', 'Modern Programming Practice', 'Web Application Architecture', 'Web Application Programming']"
Front-End Web Developer | Sermo Digital,"['Business to Business Marketing', 'Introduction to Journalism', 'Introduction to Marketing', 'Media Strategies & Techniques', 'Media Writing', 'Online Media Creation', 'Principles of Public Relations', 'Quantitative Research', 'Web Development Immersive']"
Front End Engineer at Yardi,"['Android Development', 'Intermediate C#', 'Intermediate HTML5 Course', 'Oracle administration workshop l']"
Front End Developer at HackerPug,"['Android Application Design', 'Business Process Modeling', 'Data Warehousing', 'Database Management', 'Decision Making Under Uncertainty', 'Digital Transformation', 'Distributed Systems', 'Economic Principles and Problems', 'Economics', 'Enterprise Architecture']"
Senior Front-End Developer at Palantir.net,"['Algorithms and Data Structures', 'Collaborative Innovation in Technology and Journalism', 'Computational Photography', 'Human Computer Interaction', 'Integrated Marketing Communications', 'Intoduction to Computer Systems', 'Introduction to Artificial Intelligence', 'Introduction to C++', 'Introduction to Computer Architecture', 'Introduction to Computer Engineering']"
Front End Web Developer,"['Curriculum Development and Evaluation', 'Foundations of Literacy', 'Introduction to Interactive Design', 'Online Communities', 'Principles of Software Design For Learning', 'Transformative Teaching & Learning']"
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Developer at Upwork,"['C', 'C++']"
Front End Web Developer,"['Algorithms', 'Data Structures', 'Game Design in Unity3D', 'Programming Labs']"
Front end developer at Groupon.,"['Color theory', 'Design theory', 'General wording', 'Graphic Production', 'History of art', 'Illustration', 'Marketing', 'Methodology', 'Photography', 'Psychology of design']"
Front End Developer at Offerpop,"['Algorithm', 'Computer architecture', 'Computer security', 'Data integeration', 'Database', 'Embedded systems', 'Machine learning', 'Networking concepts', 'Probability']"
Front-end Developer at Ensue LLC,"['Database Management Systems', 'Enterprise Architecture', 'Modern Programming Practice', 'Web Application Architecture', 'Web Application Programming']"
Front-End Web Developer | Sermo Digital,"['Business to Business Marketing', 'Introduction to Journalism', 'Introduction to Marketing', 'Media Strategies & Techniques', 'Media Writing', 'Online Media Creation', 'Principles of Public Relations', 'Quantitative Research', 'Web Development Immersive']"
Front End Engineer at Yardi,"['Android Development', 'Intermediate C#', 'Intermediate HTML5 Course', 'Oracle administration workshop l']"
Front End Developer at HackerPug,"['Android Application Design', 'Business Process Modeling', 'Data Warehousing', 'Database Management', 'Decision Making Under Uncertainty', 'Digital Transformation', 'Distributed Systems', 'Economic Principles and Problems', 'Economics', 'Enterprise Architecture']"
Senior Front-End Developer at Palantir.net,"['Algorithms and Data Structures', 'Collaborative Innovation in Technology and Journalism', 'Computational Photography', 'Human Computer Interaction', 'Integrated Marketing Communications', 'Intoduction to Computer Systems', 'Introduction to Artificial Intelligence', 'Introduction to C++', 'Introduction to Computer Architecture', 'Introduction to Computer Engineering']"
Front End Developer | Open to opportunities | Open to Relocation,"['Advance WWW', 'Automata and Formal Languages', 'Broadband Networks', 'C', 'C++', 'Computational Complexity', 'Cryptography and Data Security', 'Database System Administration', 'Database Systems', 'Distributed Systems']"
Front End Web Developer,"['Curriculum Development and Evaluation', 'Foundations of Literacy', 'Introduction to Interactive Design', 'Online Communities', 'Principles of Software Design For Learning', 'Transformative Teaching & Learning']"
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Developer at Upwork,"['C', 'C++']"
Front End Web Developer,"['Algorithms', 'Data Structures', 'Game Design in Unity3D', 'Programming Labs']"
Front end developer at Groupon.,"['Color theory', 'Design theory', 'General wording', 'Graphic Production', 'History of art', 'Illustration', 'Marketing', 'Methodology', 'Photography', 'Psychology of design']"
Front End Developer at Offerpop,"['Algorithm', 'Computer architecture', 'Computer security', 'Data integeration', 'Database', 'Embedded systems', 'Machine learning', 'Networking concepts', 'Probability']"
Front-end Developer at Ensue LLC,"['Database Management Systems', 'Enterprise Architecture', 'Modern Programming Practice', 'Web Application Architecture', 'Web Application Programming']"
Front-End Web Developer | Sermo Digital,"['Business to Business Marketing', 'Introduction to Journalism', 'Introduction to Marketing', 'Media Strategies & Techniques', 'Media Writing', 'Online Media Creation', 'Principles of Public Relations', 'Quantitative Research', 'Web Development Immersive']"
Front End Engineer at Yardi,"['Android Development', 'Intermediate C#', 'Intermediate HTML5 Course', 'Oracle administration workshop l']"
Front End Developer at HackerPug,"['Android Application Design', 'Business Process Modeling', 'Data Warehousing', 'Database Management', 'Decision Making Under Uncertainty', 'Digital Transformation', 'Distributed Systems', 'Economic Principles and Problems', 'Economics', 'Enterprise Architecture']"
Senior Front-End Developer at Palantir.net,"['Algorithms and Data Structures', 'Collaborative Innovation in Technology and Journalism', 'Computational Photography', 'Human Computer Interaction', 'Integrated Marketing Communications', 'Intoduction to Computer Systems', 'Introduction to Artificial Intelligence', 'Introduction to C++', 'Introduction to Computer Architecture', 'Introduction to Computer Engineering']"
Front End Developer | Open to opportunities | Open to Relocation,"['Advance WWW', 'Automata and Formal Languages', 'Broadband Networks', 'C', 'C++', 'Computational Complexity', 'Cryptography and Data Security', 'Database System Administration', 'Database Systems', 'Distributed Systems']"
Front-end Web developer,"['Algorithm analysis', 'C language program design', 'Compilation principle', 'Computer network', 'Data structure', 'Digital logic and digital system', 'Information system development', 'Object oriented analysis and design with UML', 'Principles of computer composition', 'Windows network programming']"
Front End Web Developer,"['Curriculum Development and Evaluation', 'Foundations of Literacy', 'Introduction to Interactive Design', 'Online Communities', 'Principles of Software Design For Learning', 'Transformative Teaching & Learning']"
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Developer at Upwork,"['C', 'C++']"
Front End Web Developer,"['Algorithms', 'Data Structures', 'Game Design in Unity3D', 'Programming Labs']"
Front end developer at Groupon.,"['Color theory', 'Design theory', 'General wording', 'Graphic Production', 'History of art', 'Illustration', 'Marketing', 'Methodology', 'Photography', 'Psychology of design']"
Front End Developer at Offerpop,"['Algorithm', 'Computer architecture', 'Computer security', 'Data integeration', 'Database', 'Embedded systems', 'Machine learning', 'Networking concepts', 'Probability']"
Front-end Developer at Ensue LLC,"['Database Management Systems', 'Enterprise Architecture', 'Modern Programming Practice', 'Web Application Architecture', 'Web Application Programming']"
Front-End Web Developer | Sermo Digital,"['Business to Business Marketing', 'Introduction to Journalism', 'Introduction to Marketing', 'Media Strategies & Techniques', 'Media Writing', 'Online Media Creation', 'Principles of Public Relations', 'Quantitative Research', 'Web Development Immersive']"
Front End Engineer at Yardi,"['Android Development', 'Intermediate C#', 'Intermediate HTML5 Course', 'Oracle administration workshop l']"
Front End Developer at HackerPug,"['Android Application Design', 'Business Process Modeling', 'Data Warehousing', 'Database Management', 'Decision Making Under Uncertainty', 'Digital Transformation', 'Distributed Systems', 'Economic Principles and Problems', 'Economics', 'Enterprise Architecture']"
Senior Front-End Developer at Palantir.net,"['Algorithms and Data Structures', 'Collaborative Innovation in Technology and Journalism', 'Computational Photography', 'Human Computer Interaction', 'Integrated Marketing Communications', 'Intoduction to Computer Systems', 'Introduction to Artificial Intelligence', 'Introduction to C++', 'Introduction to Computer Architecture', 'Introduction to Computer Engineering']"
Front End Developer | Open to opportunities | Open to Relocation,"['Advance WWW', 'Automata and Formal Languages', 'Broadband Networks', 'C', 'C++', 'Computational Complexity', 'Cryptography and Data Security', 'Database System Administration', 'Database Systems', 'Distributed Systems']"
Front-end Web developer,"['Algorithm analysis', 'C language program design', 'Compilation principle', 'Computer network', 'Data structure', 'Digital logic and digital system', 'Information system development', 'Object oriented analysis and design with UML', 'Principles of computer composition', 'Windows network programming']"
UX Designer / Front-end Developer Intern at InSellerate,"['Advanced Java Programming (Android)', 'Calculus', 'Chemistry and Qualitative Analysis', 'Chinese (Mandarin)', 'Computer Communications (Network Protocols)', 'Discrete Math for Computer Science', 'Linear Algebra and Differential Calculus', 'Microbiology', 'Multivariable Calculus', 'Organic Chemistry']"
Front End Web Developer,"['Curriculum Development and Evaluation', 'Foundations of Literacy', 'Introduction to Interactive Design', 'Online Communities', 'Principles of Software Design For Learning', 'Transformative Teaching & Learning']"
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Developer at Upwork,"['C', 'C++']"
Front End Web Developer,"['Algorithms', 'Data Structures', 'Game Design in Unity3D', 'Programming Labs']"
Front end developer at Groupon.,"['Color theory', 'Design theory', 'General wording', 'Graphic Production', 'History of art', 'Illustration', 'Marketing', 'Methodology', 'Photography', 'Psychology of design']"
Front End Developer at Offerpop,"['Algorithm', 'Computer architecture', 'Computer security', 'Data integeration', 'Database', 'Embedded systems', 'Machine learning', 'Networking concepts', 'Probability']"
Front-end Developer at Ensue LLC,"['Database Management Systems', 'Enterprise Architecture', 'Modern Programming Practice', 'Web Application Architecture', 'Web Application Programming']"
Front-End Web Developer | Sermo Digital,"['Business to Business Marketing', 'Introduction to Journalism', 'Introduction to Marketing', 'Media Strategies & Techniques', 'Media Writing', 'Online Media Creation', 'Principles of Public Relations', 'Quantitative Research', 'Web Development Immersive']"
Front End Engineer at Yardi,"['Android Development', 'Intermediate C#', 'Intermediate HTML5 Course', 'Oracle administration workshop l']"
Front End Developer at HackerPug,"['Android Application Design', 'Business Process Modeling', 'Data Warehousing', 'Database Management', 'Decision Making Under Uncertainty', 'Digital Transformation', 'Distributed Systems', 'Economic Principles and Problems', 'Economics', 'Enterprise Architecture']"
Senior Front-End Developer at Palantir.net,"['Algorithms and Data Structures', 'Collaborative Innovation in Technology and Journalism', 'Computational Photography', 'Human Computer Interaction', 'Integrated Marketing Communications', 'Intoduction to Computer Systems', 'Introduction to Artificial Intelligence', 'Introduction to C++', 'Introduction to Computer Architecture', 'Introduction to Computer Engineering']"
Front End Developer | Open to opportunities | Open to Relocation,"['Advance WWW', 'Automata and Formal Languages', 'Broadband Networks', 'C', 'C++', 'Computational Complexity', 'Cryptography and Data Security', 'Database System Administration', 'Database Systems', 'Distributed Systems']"
Front-end Web developer,"['Algorithm analysis', 'C language program design', 'Compilation principle', 'Computer network', 'Data structure', 'Digital logic and digital system', 'Information system development', 'Object oriented analysis and design with UML', 'Principles of computer composition', 'Windows network programming']"
UX Designer / Front-end Developer Intern at InSellerate,"['Advanced Java Programming (Android)', 'Calculus', 'Chemistry and Qualitative Analysis', 'Chinese (Mandarin)', 'Computer Communications (Network Protocols)', 'Discrete Math for Computer Science', 'Linear Algebra and Differential Calculus', 'Microbiology', 'Multivariable Calculus', 'Organic Chemistry']"
Front End / UI Developer at Smartsheet,"['Javascript Development', 'UX/UI Design & Front-End Development', 'iOS Development']"
Front End Web Developer,"['Curriculum Development and Evaluation', 'Foundations of Literacy', 'Introduction to Interactive Design', 'Online Communities', 'Principles of Software Design For Learning', 'Transformative Teaching & Learning']"
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Developer at Upwork,"['C', 'C++']"
Front End Web Developer,"['Algorithms', 'Data Structures', 'Game Design in Unity3D', 'Programming Labs']"
Front end developer at Groupon.,"['Color theory', 'Design theory', 'General wording', 'Graphic Production', 'History of art', 'Illustration', 'Marketing', 'Methodology', 'Photography', 'Psychology of design']"
Front End Developer at Offerpop,"['Algorithm', 'Computer architecture', 'Computer security', 'Data integeration', 'Database', 'Embedded systems', 'Machine learning', 'Networking concepts', 'Probability']"
Front-end Developer at Ensue LLC,"['Database Management Systems', 'Enterprise Architecture', 'Modern Programming Practice', 'Web Application Architecture', 'Web Application Programming']"
Front-End Web Developer | Sermo Digital,"['Business to Business Marketing', 'Introduction to Journalism', 'Introduction to Marketing', 'Media Strategies & Techniques', 'Media Writing', 'Online Media Creation', 'Principles of Public Relations', 'Quantitative Research', 'Web Development Immersive']"
Front End Engineer at Yardi,"['Android Development', 'Intermediate C#', 'Intermediate HTML5 Course', 'Oracle administration workshop l']"
Front End Developer at HackerPug,"['Android Application Design', 'Business Process Modeling', 'Data Warehousing', 'Database Management', 'Decision Making Under Uncertainty', 'Digital Transformation', 'Distributed Systems', 'Economic Principles and Problems', 'Economics', 'Enterprise Architecture']"
Senior Front-End Developer at Palantir.net,"['Algorithms and Data Structures', 'Collaborative Innovation in Technology and Journalism', 'Computational Photography', 'Human Computer Interaction', 'Integrated Marketing Communications', 'Intoduction to Computer Systems', 'Introduction to Artificial Intelligence', 'Introduction to C++', 'Introduction to Computer Architecture', 'Introduction to Computer Engineering']"
Front End Developer | Open to opportunities | Open to Relocation,"['Advance WWW', 'Automata and Formal Languages', 'Broadband Networks', 'C', 'C++', 'Computational Complexity', 'Cryptography and Data Security', 'Database System Administration', 'Database Systems', 'Distributed Systems']"
Front-end Web developer,"['Algorithm analysis', 'C language program design', 'Compilation principle', 'Computer network', 'Data structure', 'Digital logic and digital system', 'Information system development', 'Object oriented analysis and design with UML', 'Principles of computer composition', 'Windows network programming']"
UX Designer / Front-end Developer Intern at InSellerate,"['Advanced Java Programming (Android)', 'Calculus', 'Chemistry and Qualitative Analysis', 'Chinese (Mandarin)', 'Computer Communications (Network Protocols)', 'Discrete Math for Computer Science', 'Linear Algebra and Differential Calculus', 'Microbiology', 'Multivariable Calculus', 'Organic Chemistry']"
Front End / UI Developer at Smartsheet,"['Javascript Development', 'UX/UI Design & Front-End Development', 'iOS Development']"
Front End Developer at HDMZ,"['Advanced Digital Mastering, Editing, and Delivery', 'Advanced Mixing Techniques', 'Advanced Recording Techniques', 'Audio Implementation of Video Games', 'Business of Music Production', 'Data Management and Statistics', 'MIDI Systems for Music Production', 'Masters Engineering Lab', 'Music Production for Records', 'Music Production for Visual Media']"
Front End Web Developer,"['Curriculum Development and Evaluation', 'Foundations of Literacy', 'Introduction to Interactive Design', 'Online Communities', 'Principles of Software Design For Learning', 'Transformative Teaching & Learning']"
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Developer at Upwork,"['C', 'C++']"
Front End Web Developer,"['Algorithms', 'Data Structures', 'Game Design in Unity3D', 'Programming Labs']"
Front end developer at Groupon.,"['Color theory', 'Design theory', 'General wording', 'Graphic Production', 'History of art', 'Illustration', 'Marketing', 'Methodology', 'Photography', 'Psychology of design']"
Front End Developer at Offerpop,"['Algorithm', 'Computer architecture', 'Computer security', 'Data integeration', 'Database', 'Embedded systems', 'Machine learning', 'Networking concepts', 'Probability']"
Front-end Developer at Ensue LLC,"['Database Management Systems', 'Enterprise Architecture', 'Modern Programming Practice', 'Web Application Architecture', 'Web Application Programming']"
Front-End Web Developer | Sermo Digital,"['Business to Business Marketing', 'Introduction to Journalism', 'Introduction to Marketing', 'Media Strategies & Techniques', 'Media Writing', 'Online Media Creation', 'Principles of Public Relations', 'Quantitative Research', 'Web Development Immersive']"
Front End Engineer at Yardi,"['Android Development', 'Intermediate C#', 'Intermediate HTML5 Course', 'Oracle administration workshop l']"
Front End Developer at HackerPug,"['Android Application Design', 'Business Process Modeling', 'Data Warehousing', 'Database Management', 'Decision Making Under Uncertainty', 'Digital Transformation', 'Distributed Systems', 'Economic Principles and Problems', 'Economics', 'Enterprise Architecture']"
