occupation,courses_list
Software Engineer at Google,"['Adv. Heat Transfer', 'Algorithms, Part I - Princeton MOOC', 'Algorithms, Part II - Princeton MOOC', 'An Introduction to Interactive Programming in Python', 'Computer Graphics', 'Computer-aided ship design and manufacturing', 'Database SQL', 'Electrical and Electronic Technology', 'Electrical and Electronic Technology II', 'Energy Conversion and Supply']"
Software Engineer at Google,"['Advanced Software Development Methods', 'Algorithms', 'Cloud Computing', 'Computer Architecture', 'Data & Information Engineering', 'Human Machine Interface', 'Information Retrieval', 'Internet Scale Application', 'Operating Systems', 'Program and Data Representation']"
Software Engineer at Yelp,"['Advertising and Promotion Strategy', 'Business Analytics', 'Business Policy: An International Perspective (Capstone)', 'Business Statistics', 'Consumer Behavior', 'Environmental Economics', 'Financial Accounting', 'Financial Management', 'Information Systems', 'Intermediate German']"
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
Software Engineer at BrightEdge,"['Computer Vision', 'Data Structure and Algorithm', 'Database Principles and Implementation', 'Introduction to Artificial Intelligence', 'Machine Learning', 'Numerical Analysis', 'Pattern Recognition', 'Regression Analysis', 'TEXT MINING AND BIG DATA ANALYTICS', 'VISUAL INTERACTION AND DATA ANALYTICS']"
Software Engineer at Amazon,"['Advanced Software Enginee', 'Analysis Of Algorithm', 'Computational Geometry', 'Introduction to AI', 'Introduction to Algorithms', 'Networks Management and Control Standards', 'Operating Systems', 'Principles of Database Management Systems', 'Randomized Algorithms', 'Theory of Computation I']"
Software Engineer,"['Data Structures & Advanced Programming (audit)', 'Integrative Bioinformatics, Genomics, and Proteomics Lab', 'Introduction to Computer Science']"
Software Engineer at Google,"['Adv. Heat Transfer', 'Algorithms, Part I - Princeton MOOC', 'Algorithms, Part II - Princeton MOOC', 'An Introduction to Interactive Programming in Python', 'Computer Graphics', 'Computer-aided ship design and manufacturing', 'Database SQL', 'Electrical and Electronic Technology', 'Electrical and Electronic Technology II', 'Energy Conversion and Supply']"
Software Engineer at Google,"['Advanced Software Development Methods', 'Algorithms', 'Cloud Computing', 'Computer Architecture', 'Data & Information Engineering', 'Human Machine Interface', 'Information Retrieval', 'Internet Scale Application', 'Operating Systems', 'Program and Data Representation']"
Software Engineer at Yelp,"['Advertising and Promotion Strategy', 'Business Analytics', 'Business Policy: An International Perspective (Capstone)', 'Business Statistics', 'Consumer Behavior', 'Environmental Economics', 'Financial Accounting', 'Financial Management', 'Information Systems', 'Intermediate German']"
Software Engineer,"['ADVANCED PROGRAMMING IN UNIX', 'ARTIFICIAL INTELLIGENCE', 'COMPILER DESIGN', 'COMPUTER GRAPHICS', 'COMPUTER INTERFACING', 'COMPUTER NETWORKS', 'DATABASE SYSTEMS', 'DIGITAL ELECTRONICS AND PULSE TECHNIQUES', 'DIGITAL SYSTEM DESIGN', 'DISCRETE MATHEMATICS']"
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
Software Engineer at BrightEdge,"['Computer Vision', 'Data Structure and Algorithm', 'Database Principles and Implementation', 'Introduction to Artificial Intelligence', 'Machine Learning', 'Numerical Analysis', 'Pattern Recognition', 'Regression Analysis', 'TEXT MINING AND BIG DATA ANALYTICS', 'VISUAL INTERACTION AND DATA ANALYTICS']"
Software Engineer at Amazon,"['Advanced Software Enginee', 'Analysis Of Algorithm', 'Computational Geometry', 'Introduction to AI', 'Introduction to Algorithms', 'Networks Management and Control Standards', 'Operating Systems', 'Principles of Database Management Systems', 'Randomized Algorithms', 'Theory of Computation I']"
Software Engineer,"['Data Structures & Advanced Programming (audit)', 'Integrative Bioinformatics, Genomics, and Proteomics Lab', 'Introduction to Computer Science']"
Software Engineer at Google,"['Adv. Heat Transfer', 'Algorithms, Part I - Princeton MOOC', 'Algorithms, Part II - Princeton MOOC', 'An Introduction to Interactive Programming in Python', 'Computer Graphics', 'Computer-aided ship design and manufacturing', 'Database SQL', 'Electrical and Electronic Technology', 'Electrical and Electronic Technology II', 'Energy Conversion and Supply']"
Software Engineer at Google,"['Advanced Software Development Methods', 'Algorithms', 'Cloud Computing', 'Computer Architecture', 'Data & Information Engineering', 'Human Machine Interface', 'Information Retrieval', 'Internet Scale Application', 'Operating Systems', 'Program and Data Representation']"
Software Engineer at Yelp,"['Advertising and Promotion Strategy', 'Business Analytics', 'Business Policy: An International Perspective (Capstone)', 'Business Statistics', 'Consumer Behavior', 'Environmental Economics', 'Financial Accounting', 'Financial Management', 'Information Systems', 'Intermediate German']"
Software Engineer,"['ADVANCED PROGRAMMING IN UNIX', 'ARTIFICIAL INTELLIGENCE', 'COMPILER DESIGN', 'COMPUTER GRAPHICS', 'COMPUTER INTERFACING', 'COMPUTER NETWORKS', 'DATABASE SYSTEMS', 'DIGITAL ELECTRONICS AND PULSE TECHNIQUES', 'DIGITAL SYSTEM DESIGN', 'DISCRETE MATHEMATICS']"
Software Engineer at Google,"['3D Graphics and Rendering', 'Advance Game Project', 'Algorithrm', 'Game Engine', 'Mobile Game', 'Networked Game', 'Web Technology']"
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
Software Engineer at BrightEdge,"['Computer Vision', 'Data Structure and Algorithm', 'Database Principles and Implementation', 'Introduction to Artificial Intelligence', 'Machine Learning', 'Numerical Analysis', 'Pattern Recognition', 'Regression Analysis', 'TEXT MINING AND BIG DATA ANALYTICS', 'VISUAL INTERACTION AND DATA ANALYTICS']"
Software Engineer at Amazon,"['Advanced Software Enginee', 'Analysis Of Algorithm', 'Computational Geometry', 'Introduction to AI', 'Introduction to Algorithms', 'Networks Management and Control Standards', 'Operating Systems', 'Principles of Database Management Systems', 'Randomized Algorithms', 'Theory of Computation I']"
Software Engineer,"['Data Structures & Advanced Programming (audit)', 'Integrative Bioinformatics, Genomics, and Proteomics Lab', 'Introduction to Computer Science']"
Software Engineer at Google,"['Adv. Heat Transfer', 'Algorithms, Part I - Princeton MOOC', 'Algorithms, Part II - Princeton MOOC', 'An Introduction to Interactive Programming in Python', 'Computer Graphics', 'Computer-aided ship design and manufacturing', 'Database SQL', 'Electrical and Electronic Technology', 'Electrical and Electronic Technology II', 'Energy Conversion and Supply']"
Software Engineer at Google,"['Advanced Software Development Methods', 'Algorithms', 'Cloud Computing', 'Computer Architecture', 'Data & Information Engineering', 'Human Machine Interface', 'Information Retrieval', 'Internet Scale Application', 'Operating Systems', 'Program and Data Representation']"
Software Engineer at Yelp,"['Advertising and Promotion Strategy', 'Business Analytics', 'Business Policy: An International Perspective (Capstone)', 'Business Statistics', 'Consumer Behavior', 'Environmental Economics', 'Financial Accounting', 'Financial Management', 'Information Systems', 'Intermediate German']"
Software Engineer,"['ADVANCED PROGRAMMING IN UNIX', 'ARTIFICIAL INTELLIGENCE', 'COMPILER DESIGN', 'COMPUTER GRAPHICS', 'COMPUTER INTERFACING', 'COMPUTER NETWORKS', 'DATABASE SYSTEMS', 'DIGITAL ELECTRONICS AND PULSE TECHNIQUES', 'DIGITAL SYSTEM DESIGN', 'DISCRETE MATHEMATICS']"
Software Engineer at Google,"['3D Graphics and Rendering', 'Advance Game Project', 'Algorithrm', 'Game Engine', 'Mobile Game', 'Networked Game', 'Web Technology']"
Software Engineer at Feedzai,"['ADVANCED DIGITAL LOGIC', 'ANALOG INTEGRATED CIRCUIT DSGN', 'CLOUD & MOBILE COMPUTING', 'COMPUTER ARCHITECTURE', 'DATABASE DESIGN', 'DESIGN & ANALYS-COMP ALGORITHM', 'HARDWARE MODELING USING HDL', 'MICROPROCESSOR SYSTEMS', 'SPEECH & SPEAKER RECOGNITION', 'TESTING AND TESTABLE DESIGN']"
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
Software Engineer at BrightEdge,"['Computer Vision', 'Data Structure and Algorithm', 'Database Principles and Implementation', 'Introduction to Artificial Intelligence', 'Machine Learning', 'Numerical Analysis', 'Pattern Recognition', 'Regression Analysis', 'TEXT MINING AND BIG DATA ANALYTICS', 'VISUAL INTERACTION AND DATA ANALYTICS']"
Software Engineer at Amazon,"['Advanced Software Enginee', 'Analysis Of Algorithm', 'Computational Geometry', 'Introduction to AI', 'Introduction to Algorithms', 'Networks Management and Control Standards', 'Operating Systems', 'Principles of Database Management Systems', 'Randomized Algorithms', 'Theory of Computation I']"
Software Engineer,"['Data Structures & Advanced Programming (audit)', 'Integrative Bioinformatics, Genomics, and Proteomics Lab', 'Introduction to Computer Science']"
Software Engineer at Google,"['Adv. Heat Transfer', 'Algorithms, Part I - Princeton MOOC', 'Algorithms, Part II - Princeton MOOC', 'An Introduction to Interactive Programming in Python', 'Computer Graphics', 'Computer-aided ship design and manufacturing', 'Database SQL', 'Electrical and Electronic Technology', 'Electrical and Electronic Technology II', 'Energy Conversion and Supply']"
Software Engineer at Google,"['Advanced Software Development Methods', 'Algorithms', 'Cloud Computing', 'Computer Architecture', 'Data & Information Engineering', 'Human Machine Interface', 'Information Retrieval', 'Internet Scale Application', 'Operating Systems', 'Program and Data Representation']"
Software Engineer at Yelp,"['Advertising and Promotion Strategy', 'Business Analytics', 'Business Policy: An International Perspective (Capstone)', 'Business Statistics', 'Consumer Behavior', 'Environmental Economics', 'Financial Accounting', 'Financial Management', 'Information Systems', 'Intermediate German']"
Software Engineer,"['ADVANCED PROGRAMMING IN UNIX', 'ARTIFICIAL INTELLIGENCE', 'COMPILER DESIGN', 'COMPUTER GRAPHICS', 'COMPUTER INTERFACING', 'COMPUTER NETWORKS', 'DATABASE SYSTEMS', 'DIGITAL ELECTRONICS AND PULSE TECHNIQUES', 'DIGITAL SYSTEM DESIGN', 'DISCRETE MATHEMATICS']"
Software Engineer at Google,"['3D Graphics and Rendering', 'Advance Game Project', 'Algorithrm', 'Game Engine', 'Mobile Game', 'Networked Game', 'Web Technology']"
Software Engineer at Feedzai,"['ADVANCED DIGITAL LOGIC', 'ANALOG INTEGRATED CIRCUIT DSGN', 'CLOUD & MOBILE COMPUTING', 'COMPUTER ARCHITECTURE', 'DATABASE DESIGN', 'DESIGN & ANALYS-COMP ALGORITHM', 'HARDWARE MODELING USING HDL', 'MICROPROCESSOR SYSTEMS', 'SPEECH & SPEAKER RECOGNITION', 'TESTING AND TESTABLE DESIGN']"
Software Engineer II at Duo Security,"['Computer Organization', 'Data Structures and Algorithms', 'Discrete Mathematics', 'Introduction to Cryptography', 'Linear Algebra']"
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
Software Engineer at BrightEdge,"['Computer Vision', 'Data Structure and Algorithm', 'Database Principles and Implementation', 'Introduction to Artificial Intelligence', 'Machine Learning', 'Numerical Analysis', 'Pattern Recognition', 'Regression Analysis', 'TEXT MINING AND BIG DATA ANALYTICS', 'VISUAL INTERACTION AND DATA ANALYTICS']"
Software Engineer at Amazon,"['Advanced Software Enginee', 'Analysis Of Algorithm', 'Computational Geometry', 'Introduction to AI', 'Introduction to Algorithms', 'Networks Management and Control Standards', 'Operating Systems', 'Principles of Database Management Systems', 'Randomized Algorithms', 'Theory of Computation I']"
Software Engineer,"['Data Structures & Advanced Programming (audit)', 'Integrative Bioinformatics, Genomics, and Proteomics Lab', 'Introduction to Computer Science']"
Software Engineer at Google,"['Adv. Heat Transfer', 'Algorithms, Part I - Princeton MOOC', 'Algorithms, Part II - Princeton MOOC', 'An Introduction to Interactive Programming in Python', 'Computer Graphics', 'Computer-aided ship design and manufacturing', 'Database SQL', 'Electrical and Electronic Technology', 'Electrical and Electronic Technology II', 'Energy Conversion and Supply']"
Software Engineer at Google,"['Advanced Software Development Methods', 'Algorithms', 'Cloud Computing', 'Computer Architecture', 'Data & Information Engineering', 'Human Machine Interface', 'Information Retrieval', 'Internet Scale Application', 'Operating Systems', 'Program and Data Representation']"
Software Engineer at Yelp,"['Advertising and Promotion Strategy', 'Business Analytics', 'Business Policy: An International Perspective (Capstone)', 'Business Statistics', 'Consumer Behavior', 'Environmental Economics', 'Financial Accounting', 'Financial Management', 'Information Systems', 'Intermediate German']"
Software Engineer,"['ADVANCED PROGRAMMING IN UNIX', 'ARTIFICIAL INTELLIGENCE', 'COMPILER DESIGN', 'COMPUTER GRAPHICS', 'COMPUTER INTERFACING', 'COMPUTER NETWORKS', 'DATABASE SYSTEMS', 'DIGITAL ELECTRONICS AND PULSE TECHNIQUES', 'DIGITAL SYSTEM DESIGN', 'DISCRETE MATHEMATICS']"
Software Engineer at Google,"['3D Graphics and Rendering', 'Advance Game Project', 'Algorithrm', 'Game Engine', 'Mobile Game', 'Networked Game', 'Web Technology']"
Software Engineer at Feedzai,"['ADVANCED DIGITAL LOGIC', 'ANALOG INTEGRATED CIRCUIT DSGN', 'CLOUD & MOBILE COMPUTING', 'COMPUTER ARCHITECTURE', 'DATABASE DESIGN', 'DESIGN & ANALYS-COMP ALGORITHM', 'HARDWARE MODELING USING HDL', 'MICROPROCESSOR SYSTEMS', 'SPEECH & SPEAKER RECOGNITION', 'TESTING AND TESTABLE DESIGN']"
Software Engineer II at Duo Security,"['Computer Organization', 'Data Structures and Algorithms', 'Discrete Mathematics', 'Introduction to Cryptography', 'Linear Algebra']"
Software Engineer at TripAdvisor,"['ARM Embedded Systems and its Experiments', 'Advanced WWW Programming', 'Algorithm and Analysis', 'Analog Electronic Technology', 'Arts and Skills of Interpersonal Communications', 'C++ Programming', 'Computer Vision in our 3D world', 'Creation Studies and Training of Creative Thinking', 'Data Structure', 'Digital Image Processing']"
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
Software Engineer at BrightEdge,"['Computer Vision', 'Data Structure and Algorithm', 'Database Principles and Implementation', 'Introduction to Artificial Intelligence', 'Machine Learning', 'Numerical Analysis', 'Pattern Recognition', 'Regression Analysis', 'TEXT MINING AND BIG DATA ANALYTICS', 'VISUAL INTERACTION AND DATA ANALYTICS']"
Software Engineer at Amazon,"['Advanced Software Enginee', 'Analysis Of Algorithm', 'Computational Geometry', 'Introduction to AI', 'Introduction to Algorithms', 'Networks Management and Control Standards', 'Operating Systems', 'Principles of Database Management Systems', 'Randomized Algorithms', 'Theory of Computation I']"
Software Engineer,"['Data Structures & Advanced Programming (audit)', 'Integrative Bioinformatics, Genomics, and Proteomics Lab', 'Introduction to Computer Science']"
Software Engineer at Google,"['Adv. Heat Transfer', 'Algorithms, Part I - Princeton MOOC', 'Algorithms, Part II - Princeton MOOC', 'An Introduction to Interactive Programming in Python', 'Computer Graphics', 'Computer-aided ship design and manufacturing', 'Database SQL', 'Electrical and Electronic Technology', 'Electrical and Electronic Technology II', 'Energy Conversion and Supply']"
Software Engineer at Google,"['Advanced Software Development Methods', 'Algorithms', 'Cloud Computing', 'Computer Architecture', 'Data & Information Engineering', 'Human Machine Interface', 'Information Retrieval', 'Internet Scale Application', 'Operating Systems', 'Program and Data Representation']"
Software Engineer at Yelp,"['Advertising and Promotion Strategy', 'Business Analytics', 'Business Policy: An International Perspective (Capstone)', 'Business Statistics', 'Consumer Behavior', 'Environmental Economics', 'Financial Accounting', 'Financial Management', 'Information Systems', 'Intermediate German']"
