occupation,courses_list
"Senior Scientist: Data Science, Biochemistry/Biophysics at Pacific Biosciences","['Biochemistry', 'Biophysical chemistry', 'Biophysics', 'Standard undergraduate physics curriculum', 'Statistical mechanics']"
Products and Data stuff,"['Distributed Systems', 'Human Computer Interaction', 'Natural Language Processing', 'Strategic Planning', 'Text Analytics']"
Data Scientist at Facebook,"['Applied Data Science', 'C# and .Net Framework', 'Data Mining', 'Data Structures', 'Data Warehousing', 'Database Management', 'Design and Analysis of Algorithms', 'Distributed Systems', 'Economic Analysis', 'Hadoop and MapReduce']"
Data Enthusiast Actively Seeking Opportunities,"['Algorithms in Computer Science with Python', 'Complex Functions and Integral Transformations', 'Discrete Mathematics', 'Econometrics', 'Introduction to Programming Systems Design(Java, C++)', 'Investment Analysis and Portfolio Management', 'Machine Learning', 'Mathematical Statistics', 'Mathematics and Tools for Financial Engineering', 'Numerical Analysis']"
Data Scientist at Facebook,"['Advanced Statistical Inference', 'Computer Organization and Systems', 'Data Structures and Algorithms', 'Design of Experiments', 'Discrete Math and Algorithms', 'Distributed Algorithms and Optimization', 'Econometrics', 'Introduction to Data Visualization', 'Introduction to Digital Speech Processing', 'Introduction to Statistical Modeling']"
Master of Science - (Data Science) at University of Massachusetts Amherst,"['Algorithms', 'Computer Networks 1 & 2', 'Data Structure', 'Machine Learning', 'Natural Language Processing', 'Operating Systems', 'Statistics - 1']"
Seeking internship opportunities in the field of data science,"['Analysis and Design of Information System', 'Data Structure', 'Database Principles and Application', 'Electronic Commerce', 'Logistics & Supply Chain Management', 'Operation Research', 'System Engineering']"
"Senior Scientist: Data Science, Biochemistry/Biophysics at Pacific Biosciences","['Biochemistry', 'Biophysical chemistry', 'Biophysics', 'Standard undergraduate physics curriculum', 'Statistical mechanics']"
Founder at Data Science Daily,"['Bioengineering Fundamentals', 'Computational Statistics, Computation & Optimization, and Monte Carlo Methods', 'Data Analysis Regression, Design and Analysis of Experiments, and Intro to Statistical Models and Data Mining', 'Intro to Time-Series Analysis', 'Life Sciences Series', 'Lower Division Engineering Sequence for Mathematics', 'Lower Division Engineering Sequence for Physics', 'Practice of Statistical Consulting', 'Probability, Statistical Theory, and Linear Models']"
Products and Data stuff,"['Distributed Systems', 'Human Computer Interaction', 'Natural Language Processing', 'Strategic Planning', 'Text Analytics']"
Data Scientist at Facebook,"['Applied Data Science', 'C# and .Net Framework', 'Data Mining', 'Data Structures', 'Data Warehousing', 'Database Management', 'Design and Analysis of Algorithms', 'Distributed Systems', 'Economic Analysis', 'Hadoop and MapReduce']"
Data Enthusiast Actively Seeking Opportunities,"['Algorithms in Computer Science with Python', 'Complex Functions and Integral Transformations', 'Discrete Mathematics', 'Econometrics', 'Introduction to Programming Systems Design(Java, C++)', 'Investment Analysis and Portfolio Management', 'Machine Learning', 'Mathematical Statistics', 'Mathematics and Tools for Financial Engineering', 'Numerical Analysis']"
Data Scientist at Facebook,"['Advanced Statistical Inference', 'Computer Organization and Systems', 'Data Structures and Algorithms', 'Design of Experiments', 'Discrete Math and Algorithms', 'Distributed Algorithms and Optimization', 'Econometrics', 'Introduction to Data Visualization', 'Introduction to Digital Speech Processing', 'Introduction to Statistical Modeling']"
Master of Science - (Data Science) at University of Massachusetts Amherst,"['Algorithms', 'Computer Networks 1 & 2', 'Data Structure', 'Machine Learning', 'Natural Language Processing', 'Operating Systems', 'Statistics - 1']"
Seeking internship opportunities in the field of data science,"['Analysis and Design of Information System', 'Data Structure', 'Database Principles and Application', 'Electronic Commerce', 'Logistics & Supply Chain Management', 'Operation Research', 'System Engineering']"
"Senior Scientist: Data Science, Biochemistry/Biophysics at Pacific Biosciences","['Biochemistry', 'Biophysical chemistry', 'Biophysics', 'Standard undergraduate physics curriculum', 'Statistical mechanics']"
Founder at Data Science Daily,"['Bioengineering Fundamentals', 'Computational Statistics, Computation & Optimization, and Monte Carlo Methods', 'Data Analysis Regression, Design and Analysis of Experiments, and Intro to Statistical Models and Data Mining', 'Intro to Time-Series Analysis', 'Life Sciences Series', 'Lower Division Engineering Sequence for Mathematics', 'Lower Division Engineering Sequence for Physics', 'Practice of Statistical Consulting', 'Probability, Statistical Theory, and Linear Models']"
"Data Engineer, Retention Science","['Analysis Of Algorithms', 'Applied Natural Language Processing', 'Applied Probability', 'Artificial Intelligence', 'Data Structures Using C', 'Database Systems', 'Design And Analysis Of Algorithms', 'Discrete Mathematical Structures', 'Event driven Programming Using Java', 'Foundations and Applications of Data Mining']"
Products and Data stuff,"['Distributed Systems', 'Human Computer Interaction', 'Natural Language Processing', 'Strategic Planning', 'Text Analytics']"
Data Scientist at Facebook,"['Applied Data Science', 'C# and .Net Framework', 'Data Mining', 'Data Structures', 'Data Warehousing', 'Database Management', 'Design and Analysis of Algorithms', 'Distributed Systems', 'Economic Analysis', 'Hadoop and MapReduce']"
Data Enthusiast Actively Seeking Opportunities,"['Algorithms in Computer Science with Python', 'Complex Functions and Integral Transformations', 'Discrete Mathematics', 'Econometrics', 'Introduction to Programming Systems Design(Java, C++)', 'Investment Analysis and Portfolio Management', 'Machine Learning', 'Mathematical Statistics', 'Mathematics and Tools for Financial Engineering', 'Numerical Analysis']"
Data Scientist at Facebook,"['Advanced Statistical Inference', 'Computer Organization and Systems', 'Data Structures and Algorithms', 'Design of Experiments', 'Discrete Math and Algorithms', 'Distributed Algorithms and Optimization', 'Econometrics', 'Introduction to Data Visualization', 'Introduction to Digital Speech Processing', 'Introduction to Statistical Modeling']"
Master of Science - (Data Science) at University of Massachusetts Amherst,"['Algorithms', 'Computer Networks 1 & 2', 'Data Structure', 'Machine Learning', 'Natural Language Processing', 'Operating Systems', 'Statistics - 1']"
Seeking internship opportunities in the field of data science,"['Analysis and Design of Information System', 'Data Structure', 'Database Principles and Application', 'Electronic Commerce', 'Logistics & Supply Chain Management', 'Operation Research', 'System Engineering']"
"Senior Scientist: Data Science, Biochemistry/Biophysics at Pacific Biosciences","['Biochemistry', 'Biophysical chemistry', 'Biophysics', 'Standard undergraduate physics curriculum', 'Statistical mechanics']"
Founder at Data Science Daily,"['Bioengineering Fundamentals', 'Computational Statistics, Computation & Optimization, and Monte Carlo Methods', 'Data Analysis Regression, Design and Analysis of Experiments, and Intro to Statistical Models and Data Mining', 'Intro to Time-Series Analysis', 'Life Sciences Series', 'Lower Division Engineering Sequence for Mathematics', 'Lower Division Engineering Sequence for Physics', 'Practice of Statistical Consulting', 'Probability, Statistical Theory, and Linear Models']"
"Data Engineer, Retention Science","['Analysis Of Algorithms', 'Applied Natural Language Processing', 'Applied Probability', 'Artificial Intelligence', 'Data Structures Using C', 'Database Systems', 'Design And Analysis Of Algorithms', 'Discrete Mathematical Structures', 'Event driven Programming Using Java', 'Foundations and Applications of Data Mining']"
Data science geek,"['Artificial Intelligence', 'Computer Vision']"
Products and Data stuff,"['Distributed Systems', 'Human Computer Interaction', 'Natural Language Processing', 'Strategic Planning', 'Text Analytics']"
Data Scientist at Facebook,"['Applied Data Science', 'C# and .Net Framework', 'Data Mining', 'Data Structures', 'Data Warehousing', 'Database Management', 'Design and Analysis of Algorithms', 'Distributed Systems', 'Economic Analysis', 'Hadoop and MapReduce']"
Data Enthusiast Actively Seeking Opportunities,"['Algorithms in Computer Science with Python', 'Complex Functions and Integral Transformations', 'Discrete Mathematics', 'Econometrics', 'Introduction to Programming Systems Design(Java, C++)', 'Investment Analysis and Portfolio Management', 'Machine Learning', 'Mathematical Statistics', 'Mathematics and Tools for Financial Engineering', 'Numerical Analysis']"
Data Scientist at Facebook,"['Advanced Statistical Inference', 'Computer Organization and Systems', 'Data Structures and Algorithms', 'Design of Experiments', 'Discrete Math and Algorithms', 'Distributed Algorithms and Optimization', 'Econometrics', 'Introduction to Data Visualization', 'Introduction to Digital Speech Processing', 'Introduction to Statistical Modeling']"
Master of Science - (Data Science) at University of Massachusetts Amherst,"['Algorithms', 'Computer Networks 1 & 2', 'Data Structure', 'Machine Learning', 'Natural Language Processing', 'Operating Systems', 'Statistics - 1']"
Seeking internship opportunities in the field of data science,"['Analysis and Design of Information System', 'Data Structure', 'Database Principles and Application', 'Electronic Commerce', 'Logistics & Supply Chain Management', 'Operation Research', 'System Engineering']"
"Senior Scientist: Data Science, Biochemistry/Biophysics at Pacific Biosciences","['Biochemistry', 'Biophysical chemistry', 'Biophysics', 'Standard undergraduate physics curriculum', 'Statistical mechanics']"
Founder at Data Science Daily,"['Bioengineering Fundamentals', 'Computational Statistics, Computation & Optimization, and Monte Carlo Methods', 'Data Analysis Regression, Design and Analysis of Experiments, and Intro to Statistical Models and Data Mining', 'Intro to Time-Series Analysis', 'Life Sciences Series', 'Lower Division Engineering Sequence for Mathematics', 'Lower Division Engineering Sequence for Physics', 'Practice of Statistical Consulting', 'Probability, Statistical Theory, and Linear Models']"
"Data Engineer, Retention Science","['Analysis Of Algorithms', 'Applied Natural Language Processing', 'Applied Probability', 'Artificial Intelligence', 'Data Structures Using C', 'Database Systems', 'Design And Analysis Of Algorithms', 'Discrete Mathematical Structures', 'Event driven Programming Using Java', 'Foundations and Applications of Data Mining']"
Data science geek,"['Artificial Intelligence', 'Computer Vision']"
Data Scientist at Clover Health,"['Applied Linear Models', 'Applied Multivariate Methods', 'Bayesian Statistics Seminar', 'Concepts in Computing with Data', 'Design and Analysis of Experiment', 'Experimental Design & Time Series', 'Hierarchical Models', 'Marketing', 'Mathematical Statistics and Data Analysis', 'Perspectives in Data Science']"
Products and Data stuff,"['Distributed Systems', 'Human Computer Interaction', 'Natural Language Processing', 'Strategic Planning', 'Text Analytics']"
Data Scientist at Facebook,"['Applied Data Science', 'C# and .Net Framework', 'Data Mining', 'Data Structures', 'Data Warehousing', 'Database Management', 'Design and Analysis of Algorithms', 'Distributed Systems', 'Economic Analysis', 'Hadoop and MapReduce']"
Data Enthusiast Actively Seeking Opportunities,"['Algorithms in Computer Science with Python', 'Complex Functions and Integral Transformations', 'Discrete Mathematics', 'Econometrics', 'Introduction to Programming Systems Design(Java, C++)', 'Investment Analysis and Portfolio Management', 'Machine Learning', 'Mathematical Statistics', 'Mathematics and Tools for Financial Engineering', 'Numerical Analysis']"
Data Scientist at Facebook,"['Advanced Statistical Inference', 'Computer Organization and Systems', 'Data Structures and Algorithms', 'Design of Experiments', 'Discrete Math and Algorithms', 'Distributed Algorithms and Optimization', 'Econometrics', 'Introduction to Data Visualization', 'Introduction to Digital Speech Processing', 'Introduction to Statistical Modeling']"
Master of Science - (Data Science) at University of Massachusetts Amherst,"['Algorithms', 'Computer Networks 1 & 2', 'Data Structure', 'Machine Learning', 'Natural Language Processing', 'Operating Systems', 'Statistics - 1']"
Seeking internship opportunities in the field of data science,"['Analysis and Design of Information System', 'Data Structure', 'Database Principles and Application', 'Electronic Commerce', 'Logistics & Supply Chain Management', 'Operation Research', 'System Engineering']"
"Senior Scientist: Data Science, Biochemistry/Biophysics at Pacific Biosciences","['Biochemistry', 'Biophysical chemistry', 'Biophysics', 'Standard undergraduate physics curriculum', 'Statistical mechanics']"
Founder at Data Science Daily,"['Bioengineering Fundamentals', 'Computational Statistics, Computation & Optimization, and Monte Carlo Methods', 'Data Analysis Regression, Design and Analysis of Experiments, and Intro to Statistical Models and Data Mining', 'Intro to Time-Series Analysis', 'Life Sciences Series', 'Lower Division Engineering Sequence for Mathematics', 'Lower Division Engineering Sequence for Physics', 'Practice of Statistical Consulting', 'Probability, Statistical Theory, and Linear Models']"
"Data Engineer, Retention Science","['Analysis Of Algorithms', 'Applied Natural Language Processing', 'Applied Probability', 'Artificial Intelligence', 'Data Structures Using C', 'Database Systems', 'Design And Analysis Of Algorithms', 'Discrete Mathematical Structures', 'Event driven Programming Using Java', 'Foundations and Applications of Data Mining']"
Data science geek,"['Artificial Intelligence', 'Computer Vision']"
Data Scientist at Clover Health,"['Applied Linear Models', 'Applied Multivariate Methods', 'Bayesian Statistics Seminar', 'Concepts in Computing with Data', 'Design and Analysis of Experiment', 'Experimental Design & Time Series', 'Hierarchical Models', 'Marketing', 'Mathematical Statistics and Data Analysis', 'Perspectives in Data Science']"
Data Science and Analytics Intern at the California Government Operations Agency,"['Analysis for Production Management', 'Analysis of Categorical Data', 'Applied Time Series Analysis', 'Decision Making', 'Econometrics', 'Managerial Marketing', 'Money, Banks and Financial Institutions', 'Personal Finance', 'SAS Programming', 'Science and Society Group Project']"
Products and Data stuff,"['Distributed Systems', 'Human Computer Interaction', 'Natural Language Processing', 'Strategic Planning', 'Text Analytics']"
Data Scientist at Facebook,"['Applied Data Science', 'C# and .Net Framework', 'Data Mining', 'Data Structures', 'Data Warehousing', 'Database Management', 'Design and Analysis of Algorithms', 'Distributed Systems', 'Economic Analysis', 'Hadoop and MapReduce']"
Data Enthusiast Actively Seeking Opportunities,"['Algorithms in Computer Science with Python', 'Complex Functions and Integral Transformations', 'Discrete Mathematics', 'Econometrics', 'Introduction to Programming Systems Design(Java, C++)', 'Investment Analysis and Portfolio Management', 'Machine Learning', 'Mathematical Statistics', 'Mathematics and Tools for Financial Engineering', 'Numerical Analysis']"
Data Scientist at Facebook,"['Advanced Statistical Inference', 'Computer Organization and Systems', 'Data Structures and Algorithms', 'Design of Experiments', 'Discrete Math and Algorithms', 'Distributed Algorithms and Optimization', 'Econometrics', 'Introduction to Data Visualization', 'Introduction to Digital Speech Processing', 'Introduction to Statistical Modeling']"
Master of Science - (Data Science) at University of Massachusetts Amherst,"['Algorithms', 'Computer Networks 1 & 2', 'Data Structure', 'Machine Learning', 'Natural Language Processing', 'Operating Systems', 'Statistics - 1']"
Seeking internship opportunities in the field of data science,"['Analysis and Design of Information System', 'Data Structure', 'Database Principles and Application', 'Electronic Commerce', 'Logistics & Supply Chain Management', 'Operation Research', 'System Engineering']"
"Senior Scientist: Data Science, Biochemistry/Biophysics at Pacific Biosciences","['Biochemistry', 'Biophysical chemistry', 'Biophysics', 'Standard undergraduate physics curriculum', 'Statistical mechanics']"
Founder at Data Science Daily,"['Bioengineering Fundamentals', 'Computational Statistics, Computation & Optimization, and Monte Carlo Methods', 'Data Analysis Regression, Design and Analysis of Experiments, and Intro to Statistical Models and Data Mining', 'Intro to Time-Series Analysis', 'Life Sciences Series', 'Lower Division Engineering Sequence for Mathematics', 'Lower Division Engineering Sequence for Physics', 'Practice of Statistical Consulting', 'Probability, Statistical Theory, and Linear Models']"
"Data Engineer, Retention Science","['Analysis Of Algorithms', 'Applied Natural Language Processing', 'Applied Probability', 'Artificial Intelligence', 'Data Structures Using C', 'Database Systems', 'Design And Analysis Of Algorithms', 'Discrete Mathematical Structures', 'Event driven Programming Using Java', 'Foundations and Applications of Data Mining']"
Data science geek,"['Artificial Intelligence', 'Computer Vision']"
Data Scientist at Clover Health,"['Applied Linear Models', 'Applied Multivariate Methods', 'Bayesian Statistics Seminar', 'Concepts in Computing with Data', 'Design and Analysis of Experiment', 'Experimental Design & Time Series', 'Hierarchical Models', 'Marketing', 'Mathematical Statistics and Data Analysis', 'Perspectives in Data Science']"
